HPAI Strains,Country,State: County,Specy_common_name,epi_event_id,Earliest outbreak report date,Latest outbreak report date,Collection Date,Number of outbreaks reported,WOAH Classification,Sampling Method,Submitting Agency,More information
H5N1,United States of America,North Carolina: Hyde,American wigeon,?,12/8/22,?,11/26/22,?,Wild bird,Hunter harvest,NWDP,?
H5N1,United States of America,Maine: Penobscot,Mallard,?,12/8/22,?,11/22/22,?,Wild bird,Live bird,NWDP,?
H5N1,United States of America,Florida: St. Johns,Blue-winged teal,?,12/8/22,?,11/19/22,?,Wild bird,Hunter harvest,NWDP,?
H5N1,United States of America,Wisconsin: Dane,Tundra swan,?,12/7/22,?,11/22/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Idaho: Elmore,Gadwall,?,12/9/22,?,11/17/22,?,Wild bird,Hunter harvest,NWDP,?
H5N1,United States of America,Indiana: Gibson,Snow goose,?,12/7/22,?,11/23/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Indiana: Gibson,Snow goose,?,12/7/22,?,11/23/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Indiana: Gibson,Snow goose,?,12/7/22,?,11/23/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Indiana: Gibson,Snow goose,?,12/7/22,?,11/23/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Indiana: Gibson,Snow goose,?,12/7/22,?,11/23/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Indiana: Gibson,Snow goose,?,12/7/22,?,11/23/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Indiana: Gibson,Snow goose,?,12/7/22,?,11/23/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Indiana: Gibson,Snow goose,?,12/7/22,?,11/23/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Idaho: Elmore,American wigeon,?,12/8/22,?,11/26/22,?,Wild bird,Hunter harvest,NWDP,?
H5N1,United States of America,Indiana: Gibson,American coot,?,12/7/22,?,11/23/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Indiana: Gibson,Snow goose,?,12/7/22,?,11/23/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,North Dakota: Burleigh,Canada goose,?,12/7/22,?,11/16/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Georgia: Mcintosh,Green-winged teal,?,12/7/22,?,11/26/22,?,Wild bird,Hunter harvest,NWDP,?
H5N1,United States of America,Georgia: Mcintosh,Green-winged teal,?,12/7/22,?,11/26/22,?,Wild bird,Hunter harvest,NWDP,?
H5N1,United States of America,Georgia: Mcintosh,Green-winged teal,?,12/7/22,?,11/27/22,?,Wild bird,Hunter harvest,NWDP,?
H5N1,United States of America,Georgia: Mcintosh,American wigeon,?,12/7/22,?,11/27/22,?,Wild bird,Hunter harvest,NWDP,?
H5N1,United States of America,New Jersey: Mercer,Mallard,?,12/7/22,?,11/28/22,?,Wild bird,Hunter harvest,NWDP,?
H5N1,United States of America,Texas: Hale,American wigeon,?,12/8/22,?,11/26/22,?,Wild bird,Hunter harvest,NWDP,?
H5N1,United States of America,Texas: Hale,American wigeon,?,12/8/22,?,11/25/22,?,Wild bird,Hunter harvest,NWDP,?
H5N1,United States of America,Texas: Hale,American wigeon,?,12/8/22,?,11/25/22,?,Wild bird,Hunter harvest,NWDP,?
H5N1,United States of America,Indiana: Gibson,Snow goose,?,12/7/22,?,11/23/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Mississippi: Tallahatchie,Bald eagle,?,12/9/22,?,11/29/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Mississippi: Noxubee,Black vulture,?,12/9/22,?,11/30/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Mississippi: Noxubee,Black vulture,?,12/9/22,?,11/30/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Mississippi: Noxubee,Black vulture,?,12/9/22,?,11/30/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Mississippi: Noxubee,Black vulture,?,12/9/22,?,11/30/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Mississippi: Noxubee,Black vulture,?,12/9/22,?,11/30/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Mississippi: Noxubee,Black vulture,?,12/9/22,?,11/30/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Mississippi: Noxubee,Black vulture,?,12/9/22,?,11/30/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Mississippi: Noxubee,Black vulture,?,12/9/22,?,11/30/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Mississippi: Noxubee,Black vulture,?,12/9/22,?,11/30/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Mississippi: Noxubee,Black vulture,?,12/9/22,?,11/30/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Mississippi: Washington,Ross's goose,?,12/9/22,?,11/28/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Mississippi: Noxubee,Black vulture,?,12/9/22,?,11/30/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Louisiana: LaSalle,Wood duck,?,12/9/22,?,11/28/22,?,Wild bird,Hunter harvest,NWDP,?
H5N1,United States of America,Louisiana: LaSalle,Blue-winged teal,?,12/9/22,?,11/28/22,?,Wild bird,Hunter harvest,NWDP,?
H5N1,United States of America,Idaho: Elmore,American wigeon,?,12/9/22,?,11/17/22,?,Wild bird,Hunter harvest,NWDP,?
H5N1,United States of America,Idaho: Elmore,Gadwall,?,12/9/22,?,11/17/22,?,Wild bird,Hunter harvest,NWDP,?
H5N1,United States of America,Idaho: Elmore,American wigeon,?,12/9/22,?,11/17/22,?,Wild bird,Hunter harvest,NWDP,?
H5N1,United States of America,Idaho: Elmore,American wigeon,?,12/9/22,?,11/17/22,?,Wild bird,Hunter harvest,NWDP,?
H5N1,United States of America,Georgia: Mcintosh,Gadwall,?,12/8/22,?,11/26/22,?,Wild bird,Hunter harvest,NWDP,?
H5N1,United States of America,Indiana: Gibson,Snow goose,?,12/7/22,?,11/23/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Mississippi: Clarke,Ross's goose,?,12/9/22,?,11/30/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Mississippi: Lowndes,Great horned owl,?,12/9/22,?,11/30/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Georgia: Mcintosh,Green-winged teal,?,12/8/22,?,11/26/22,?,Wild bird,Hunter harvest,NWDP,?
H5N1,United States of America,Georgia: Mcintosh,Green-winged teal,?,12/8/22,?,11/26/22,?,Wild bird,Hunter harvest,NWDP,?
H5N1,United States of America,Georgia: Mcintosh,Northern pintail,?,12/8/22,?,11/26/22,?,Wild bird,Hunter harvest,NWDP,?
H5N1,United States of America,Tennessee: Jefferson,Black vulture,?,12/9/22,?,11/29/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Mississippi: Noxubee,Black vulture,?,12/9/22,?,11/30/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Tennessee: Jefferson,Black vulture,?,12/9/22,?,11/29/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Mississippi: Noxubee,Black vulture,?,12/9/22,?,11/30/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Mississippi: Lawrence,Snow goose,?,12/9/22,?,11/30/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Mississippi: Issaquena,Snow goose,?,12/9/22,?,11/29/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Mississippi: Issaquena,Snow goose,?,12/9/22,?,11/29/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Mississippi: Issaquena,Snow goose,?,12/9/22,?,11/29/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Mississippi: Noxubee,Black vulture,?,12/9/22,?,11/30/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Tennessee: Jefferson,Black vulture,?,12/9/22,?,11/29/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Mississippi: Issaquena,Snow goose,?,12/9/22,?,11/29/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Mississippi: Noxubee,Black vulture,?,12/9/22,?,11/30/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Mississippi: Noxubee,Black vulture,?,12/9/22,?,11/30/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Mississippi: Noxubee,Black vulture,?,12/9/22,?,11/30/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Mississippi: Noxubee,Black vulture,?,12/9/22,?,11/30/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Mississippi: Issaquena,Snow goose,?,12/9/22,?,11/29/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Mississippi: Noxubee,Black vulture,?,12/9/22,?,11/30/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Mississippi: Issaquena,Snow goose,?,12/9/22,?,11/29/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Mississippi: Noxubee,Black vulture,?,12/9/22,?,11/30/22,?,Wild bird,Morbidity/Mortality,NWDP,?
H5N1,United States of America,Massachusetts: Plymouth,Bald eagle,?,7/11/22,?,6/22/22,?,Captive wild bird,Morbidity/Mortality,Private (non-government) submission,?
H5N1,United States of America,California: Solano,Canada goose,?,8/9/22,?,7/30/22,?,Captive wild bird,Morbidity/Mortality,Private (non-government) submission,?
H5N1,United States of America,Massachusetts: Barnstable,Herring gull,?,8/15/22,?,7/14/22,?,Captive wild bird,Morbidity/Mortality,Private (non-government) submission,?
H5N1,United States of America,Massachusetts: Essex,Canada goose,?,8/15/22,?,7/14/22,?,Captive wild bird,Morbidity/Mortality,Private (non-government) submission,?
H5N1,United States of America,Minnesota: Anoka,Wood duck,?,9/9/22,?,9/2/22,?,Captive wild bird,Morbidity/Mortality,Private (non-government) submission,?
H5N1,United States of America,Wisconsin: St. Croix,Sandhill crane,?,9/9/22,?,9/2/22,?,Captive wild bird,Morbidity/Mortality,Private (non-government) submission,?
H5N1,United States of America,Minnesota: Hennepin,Mallard,?,9/9/22,?,9/2/22,?,Captive wild bird,Morbidity/Mortality,Private (non-government) submission,?
H5N1,United States of America,Minnesota: Hennepin,Canada goose,?,9/9/22,?,9/2/22,?,Captive wild bird,Morbidity/Mortality,Private (non-government) submission,?
H5N1,United States of America,Minnesota: Anoka,Mallard,?,9/9/22,?,9/2/22,?,Captive wild bird,Morbidity/Mortality,Private (non-government) submission,?
H5N1,United States of America,Minnesota: Ramsey,Canada goose,?,9/9/22,?,9/2/22,?,Captive wild bird,Morbidity/Mortality,Private (non-government) submission,?
H5N1,United States of America,Minnesota: Hennepin,Trumpeter swan,?,9/9/22,?,9/2/22,?,Captive wild bird,Morbidity/Mortality,Private (non-government) submission,?
H5N1,United States of America,Minnesota: Anoka,Green heron,?,9/9/22,?,9/2/22,?,Captive wild bird,Morbidity/Mortality,Private (non-government) submission,?
H5N1,United States of America,California: Yolo,Red-tailed hawk,?,11/25/22,?,11/4/22,?,Wild bird,Morbidity/Mortality,CA DFW/CAHFS,?
H5N1,United States of America,California: Glenn,Greater white-fronted goose,?,11/25/22,?,11/9/22,?,Wild bird,Morbidity/Mortality,CA DFW/CAHFS,?
H5N1,United States of America,Arkansas: Lawrence,Snow goose,?,12/1/22,?,11/25/22,?,Wild bird,Morbidity/Mortality,AR GFC,?
H5N1,United States of America,California: Sacramento,Double-crested cormorant,?,11/4/22,?,10/23/22,?,Wild bird,Morbidity/Mortality,Private (non-government) submission,?
H5N1,United States of America,California: San Bernardino,Canada goose,?,11/8/22,?,10/27/22,?,Wild bird,Morbidity/Mortality,CA DFA,?
H5N1,United States of America,California: San Bernardino,Canada goose,?,11/9/22,?,10/31/22,?,Wild bird,Morbidity/Mortality,CA DFA,?
H5N1,United States of America,California: San Mateo,Western gull,?,11/14/22,?,11/3/22,?,Captive wild bird,Morbidity/Mortality,Private (non-government) submission,?
H5N1,United States of America,California: Los Angeles,Goose (unidentified),?,11/25/22,?,11/7/22,?,Wild bird,Morbidity/Mortality,Private (non-government) submission,?
H5N1,United States of America,California: Los Angeles,Goose (unidentified),?,11/25/22,?,11/7/22,?,Wild bird,Morbidity/Mortality,Private (non-government) submission,?
H5N1,United States of America,California: Los Angeles,Goose (unidentified),?,11/25/22,?,11/7/22,?,Wild bird,Morbidity/Mortality,Private (non-government) submission,?
H5N1,United States of America,Colorado: Morgan,Snow goose,?,11/25/22,?,11/16/22,?,Wild bird,Morbidity/Mortality,CO Parks & Wildlife,?
H5N1,United States of America,Connecticut: Hartford,Red-tailed hawk,?,12/7/22,?,11/30/22,?,Wild bird,Morbidity/Mortality,Private (non-government) submission,?
H5N1,United States of America,Florida: Brevard,Black vulture,?,12/1/22,?,11/1/22,?,Wild bird,Morbidity/Mortality,Private (non-government) submission,?
H5N1,United States of America,Florida: Broward,Red-shouldered hawk,?,12/7/22,?,11/25/22,?,Captive wild bird,Morbidity/Mortality,Private (non-government) submission,?
H5N1,United States of America,Kentucky: Jefferson,Canada goose,?,12/6/22,?,Unknown,?,Wild bird,Morbidity/Mortality,Private (non-government) submission,?
H5N1,United States of America,Missouri: Jackson,Snow goose,?,11/28/22,?,11/13/22,?,Wild bird,Morbidity/Mortality,MO Dept of Conservation,?
H5N1,United States of America,Missouri: Jackson,Canada goose,?,11/28/22,?,11/15/22,?,Wild bird,Morbidity/Mortality,MO Dept of Conservation,?
H5N1,United States of America,Missouri: Platte,Snow goose,?,12/5/22,?,11/20/22,?,Wild bird,Morbidity/Mortality,MO Dept of Conservation,?
H5N1,United States of America,Missouri: Platte,Snow goose,?,12/5/22,?,11/21/22,?,Wild bird,Morbidity/Mortality,MO Dept of Conservation,?
H5N1,United States of America,Missouri: Dunklin,Snow goose,?,12/5/22,?,11/20/22,?,Wild bird,Morbidity/Mortality,MO Dept of Conservation,?
H5N1,United States of America,Missouri: Howell,Snow goose,?,12/5/22,?,11/17/22,?,Wild bird,Morbidity/Mortality,MO Dept of Conservation,?
H5N1,United States of America,Missouri: Boone,Snow goose,?,12/5/22,?,11/21/22,?,Wild bird,Morbidity/Mortality,MO Dept of Conservation,?
H5N1,United States of America,New Mexico: Bernalillo,Canada goose,?,10/27/22,?,10/20/22,?,Captive wild bird,Morbidity/Mortality,Private (non-government) submission,?
H5N1,United States of America,Oregon: Lincoln,Snowy plover,?,11/28/22,?,11/11/22,?,Wild bird,Morbidity/Mortality,USFWS/OR DFW,?
H5N1,United States of America,Oregon: Malheur,Snow goose,?,12/2/22,?,11/17/22,?,Wild bird,Morbidity/Mortality,OR DFW,?
H5N1,United States of America,Oregon: Lincoln,Red-tailed hawk,?,12/2/22,?,11/18/22,?,Wild bird,Morbidity/Mortality,OR DFW,?
H5N1,United States of America,Nebraska: Lancaster,Great horned owl,?,12/6/22,?,11/30/22,?,Wild bird,Morbidity/Mortality,NE GPC,?
H5N1,United States of America,Alaska: Sitka,Common raven,?,11/25/22,?,11/8/22,?,Captive wild bird,Morbidity/Mortality,Private (non-government) submission,?
H5N1,United States of America,Alaska: Sitka,Common raven,?,11/25/22,?,11/9/22,?,Captive wild bird,Morbidity/Mortality,Private (non-government) submission,?
H5N1,United States of America,Alaska: Sitka,Common raven,?,11/25/22,?,11/11/22,?,Captive wild bird,Morbidity/Mortality,Private (non-government) submission,?
H5N1,United States of America,Nebraska: Box Butte,Snow goose,?,12/6/22,?,11/23/22,?,Wild bird,Morbidity/Mortality,NE GPC,?
H5N1,United States of America,Nebraska: Box Butte,Snow goose,?,12/6/22,?,11/23/22,?,Wild bird,Morbidity/Mortality,NE GPC,?
H5N1,United States of America,Nebraska: Box Butte,Snow goose,?,12/6/22,?,11/23/22,?,Wild bird,Morbidity/Mortality,NE GPC,?
H5N1,United States of America,Nebraska: Box Butte,Snow goose,?,12/6/22,?,11/28/22,?,Wild bird,Morbidity/Mortality,NE GPC,?
H5N1,United States of America,Nebraska: Box Butte,Snow goose,?,12/6/22,?,11/28/22,?,Wild bird,Morbidity/Mortality,NE GPC,?
H5N1,United States of America,South Dakota: Miner,Snow goose,?,11/28/22,?,11/22/22,?,Wild bird,Morbidity/Mortality,SD GFP,?
H5N1,United States of America,South Dakota: Davison,Ross's goose,?,12/2/22,?,11/22/22,?,Wild bird,Morbidity/Mortality,SD GFP,?
H5N1,United States of America,South Dakota: Davison,Snow goose,?,12/2/22,?,11/22/22,?,Wild bird,Morbidity/Mortality,SD GFP,?
H5N1,United States of America,South Dakota: Hanson,Snow goose,?,12/2/22,?,11/23/22,?,Wild bird,Morbidity/Mortality,SD GFP,?
H5N1,United States of America,South Dakota: Lincoln,Snow goose,?,12/6/22,?,11/21/22,?,Wild bird,Morbidity/Mortality,SD GFP,?
H5N1,United States of America,Washington: King,Glaucous gull,?,12/2/22,?,11/15/22,?,Wild bird,Morbidity/Mortality,WA DFW,?
H5N1,United States of America,Washington: Island,Canada goose,?,12/2/22,?,11/17/22,?,Wild bird,Morbidity/Mortality,WA DFW,?
H5N1,United States of America,Washington: Lincoln,Great horned owl,?,12/2/22,?,11/15/22,?,Wild bird,Morbidity/Mortality,WA DFW,?
H5N1,United States of America,Georgia: Houston,Black vulture,?,11/17/22,?,10/31/22,?,Wild bird,Morbidity/Mortality,GA DNR/SCWDS,?
H5N1,United States of America,Georgia: Rockdale,Black vulture,?,11/17/22,?,10/21/22,?,Wild bird,Morbidity/Mortality,GA DNR/SCWDS,?
H5N1,United States of America,Georgia: DeKalb,Black vulture,?,11/17/22,?,10/21/22,?,Wild bird,Morbidity/Mortality,GA DNR/SCWDS,?
H5N1,United States of America,Georgia: Greene,Black vulture,?,11/17/22,?,11/2/22,?,Wild bird,Morbidity/Mortality,GA DNR/SCWDS,?
H5N1,United States of America,Georgia: Greene,Black vulture,?,11/17/22,?,11/2/22,?,Wild bird,Morbidity/Mortality,GA DNR/SCWDS,?
H5N1,United States of America,Georgia: Newton,Black vulture,?,11/17/22,?,11/3/22,?,Wild bird,Morbidity/Mortality,GA DNR/SCWDS,?
H5N1,United States of America,Georgia: Newton,Black vulture,?,11/17/22,?,11/3/22,?,Wild bird,Morbidity/Mortality,GA DNR/SCWDS,?
H5N1,United States of America,Georgia: Newton,Black vulture,?,11/17/22,?,11/3/22,?,Wild bird,Morbidity/Mortality,GA DNR/SCWDS,?
H5N1,United States of America,Georgia: Newton,Black vulture,?,11/17/22,?,11/3/22,?,Wild bird,Morbidity/Mortality,GA DNR/SCWDS,?
H5N1,United States of America,Georgia: Newton,Black vulture,?,11/17/22,?,11/3/22,?,Wild bird,Morbidity/Mortality,GA DNR/SCWDS,?
H5N1,United States of America,South Dakota: Hand,Bald eagle,?,11/28/22,?,3/27/22,?,Wild bird,Morbidity/Mortality,USFWS/SCWDS,?
H5N1,United States of America,South Dakota: Brown,Bald eagle,?,11/28/22,?,5/6/22,?,Wild bird,Morbidity/Mortality,USFWS/SCWDS,?
H5N1,United States of America,Ohio: Clermont,Bald eagle,?,11/28/22,?,Unknown,?,Wild bird,Morbidity/Mortality,USFWS/SCWDS,?
H5N1,United States of America,North Carolina: Orange,Black vulture,?,11/28/22,?,11/13/22,?,Wild bird,Morbidity/Mortality,NC WRC/SCWDS,?
H5N1,United States of America,North Carolina: Orange,Black vulture,?,11/28/22,?,11/13/22,?,Wild bird,Morbidity/Mortality,NC WRC/SCWDS,?
H5N1,United States of America,North Carolina: Carteret,Muscovy duck,?,11/28/22,?,11/13/22,?,Wild bird,Morbidity/Mortality,NC WRC/SCWDS,?
H5N1,United States of America,Georgia: Franklin,Black vulture,?,11/28/22,?,11/10/22,?,Wild bird,Morbidity/Mortality,GA DNR/SCWDS,?
H5N1,United States of America,Georgia: Barrow,Black vulture,?,11/28/22,?,11/4/22,?,Wild bird,Morbidity/Mortality,GA DNR/SCWDS,?
H5N1,United States of America,Georgia: Barrow,Black vulture,?,11/28/22,?,11/4/22,?,Wild bird,Morbidity/Mortality,GA DNR/SCWDS,?
H5N1,United States of America,Missouri: Jackson,Northern pintail,?,11/28/22,?,11/4/22,?,Wild bird,Morbidity/Mortality,MO Dept of Conservation/SCWDS,?
H5N1,United States of America,Nevada: Douglas,Red-tailed hawk,?,9/8/22,?,8/23/22,?,Captive wild bird,Morbidity/Mortality,Private (non-government) submission,?
H5N1,United States of America,Minnesota: Hennepin,Canada goose,?,9/15/22,?,9/12/22,?,Captive wild bird,Morbidity/Mortality,Private (non-government) submission,?
H5N1,United States of America,Minnesota: Ramsey,Mallard,?,9/15/22,?,9/12/22,?,Captive wild bird,Morbidity/Mortality,Private (non-government) submission,?
H5N1,United States of America,Minnesota: Ramsey,Wood duck,?,9/23/22,?,9/19/22,?,Captive wild bird,Morbidity/Mortality,Private (non-government) submission,?
